name,kind,city,region,country,date_granted,grant,date_opened,address,lat,lon,image_file,wikipedia_url,notes,section,source_page
Eagle Rock,public,Eagle Rock,California,United States,"Mar 11, 1914","$7,500",,"2225 Colorado Blvd, Los Angeles, CA 90041",34.13944,-118.21472,2007September_formerEagleRockBranchLibrary.jpg,https://en.wikipedia.org/wiki/Center_for_the_Arts_Eagle_Rock,"The building is now Center for the Arts Eagle Rock. Designed by architect W.E. Kleinpell, in the Mission Revival - Spanish Colonial Revival styles and opened in 1915. In 1923 it became a branch library when Eagle Rock was annexed by Los Angeles.",Public libraries,List of Carnegie libraries in California
East San Diego,public,East San Diego,California,United States,"Jun 1, 1915","$10,000",,,,,,,Demolished in 1964.,Public libraries,List of Carnegie libraries in California
El Centro,public,El Centro,California,United States,"Feb 13, 1909","$10,000",,"539 State St, El Centro, CA 92243",32.79139,-115.55583,,,"El Centro Public Library. Extensive earthquake damage in the late 1920s necessitated drastic strengthening procedures with steel banding; with successive additions, the Classical Revival building was plastered over to create a Modern look. Closed due to damage it sustained during the 2010 Baja California earthquake, it was demolished in 2016.",Public libraries,List of Carnegie libraries in California
Escondido,public,Escondido,California,United States,"Jun 29, 1908","$7,500",,,,,,,"Demolished in 1956. Designed by the Los Angeles architectural firm of Van Trees and Millar Inc., in the Classical Revival style, and one of the few to display the name ""Carnegie Library."" The new Escondido Public Library building is on the site.",Public libraries,List of Carnegie libraries in California
Eureka,public,Eureka,California,United States,"Oct 3, 1901","$20,000",,"636 F St, Eureka, CA 95501",40.80056,-124.16444,Morris_Graves_Museum_-_Carnegie_Library_Building.jpg,"https://en.wikipedia.org/wiki/Carnegie_Free_Library_(Eureka,_California)","Restored by the Humboldt Arts Council, now used as The Morris Graves Museum of Art.",Public libraries,List of Carnegie libraries in California
Exeter,public,Exeter,California,United States,"May 8, 1914","$5,000",,"309 S E St., Exeter, CA 93221",36.29361,-119.13889,2009-0725-CA-ExeterPublicLibrary.jpg,https://en.wikipedia.org/wiki/Exeter_Public_Library,Present day Exeter community center.,Public libraries,List of Carnegie libraries in California
Ferndale,public,Ferndale,California,United States,"Mar 21, 1908","$8,000",,"807 Main St, Ferndale, CA 95536",40.57972,-124.25972,Ferndale_CA_Public_Library.jpg,https://en.wikipedia.org/wiki/Ferndale_Public_Library,"Designed by architect Warren Skellings, in a bold Classical Revival style. The only Carnegie Grant Library in northwestern California still functioning as a library",Public libraries,List of Carnegie libraries in California
Fresno,public,Fresno,California,United States,"Feb 14, 1901","$30,000",,"1330 Broadway Street, Fresno CA 93721",,,Fresno_Carnegie_Library_Front_View.jpg,,Demolished in 1959. The Fresno Carnegie Library was one of the earliest and costliest of the Carnegies. Architects Copeland and Dole of New York designed the large building in the Classical Revival style.,Public libraries,List of Carnegie libraries in California
Fullerton,public,Fullerton,California,United States,"Dec 8, 1905","$10,000",,,,,,,"Demolished in 1942. Designed by architects Hunt and Eager, in the Mission Revival-Spanish Colonial Revival styles. Another library built on site and it now houses the Fullerton Museum Center.",Public libraries,List of Carnegie libraries in California
Gilroy,public,Gilroy,California,United States,"Mar 12, 1906","$10,000",,"195 5th St, Gilroy, CA 95020",37.00778,-121.57167,USA-Gilroy-Carnegie_Library-1.jpg,https://en.wikipedia.org/wiki/Gilroy_Free_Library,"Formerly the Gilroy Free Library, now the Gilroy Historical Museum. The building is virtually unchanged. Designed by architect W. H. Weeks, one of his seven ""classic Carnegies"" of the Greek temple style, with pediments and columns.",Public libraries,List of Carnegie libraries in California
